A,B,C,D,E,F,G,H,I,J,K,L
724,C3DEK1425200                                      ,TABLA DECK 14X2.5X200                   ,45292,UND ,COP,12250,0,0,0,0,
725,C3DEK1425250                                      ,TABLA DECK 14X2.5X250                   ,45292,UND ,COP,17063,0,0,0,0,
726,C3DEK1425300                                      ,TABLA DECK 14X2.5X300                   ,45292,UND ,COP,20475,0,0,0,0,
727,C3DEK1425400                                      ,TABLA DECK 14X2.5X400                   ,45292,UND ,COP,24500,0,0,0,0,
728,C3BLO1438100                                      ,TABLON 14X3.8X100                       ,45292,UND ,COP,7255,0,0,0,0,
729,C3BLO1438150                                      ,TABLON 14X3.8X150                       ,45292,UND ,COP,11789,0,0,0,0,
730,C3BLO1438200                                      ,TABLON 14X3.8X200                       ,45292,UND ,COP,18136,0,0,0,0,
731,C3BLO1438250                                      ,TABLON 14X3.8X 250,45292,UND ,COP,27205,0,0,0,0,
732,C3BLO1438300                                      ,TABLON 14X3.8X300,45292,UND ,COP,33552,0,0,0,0,
733,C3BLO1438400                                      ,TABLON 14X3.8X400,45292,UND ,COP,37449,0,0,0,0,
735,C3CYD1625150                                      ,PURO CUERO 16X2.5X150,45292,UND ,COP,12890,0,0,0,0,
736,C3CYD1625200                                      ,PURO CUERO 16X2.5X200,45292,UND ,COP,17187,0,0,0,0,
737,C3CYD1625250                                      ,PURO CUERO 16X2.5X250,45292,UND ,COP,21484,0,0,0,0,
738,C3CYD1625300                                      ,PURO CUERO 16X2.5X300,45292,UND ,COP,25781,0,0,0,0,
741,C3CYD1825150                                      ,PURO CUERO 18X2.5X150,45292,UND ,COP,14502,0,0,0,0,
742,C3CYD1825200                                      ,PURO CUERO 18X2.5X200,45292,UND ,COP,19335,0,0,0,0,
743,C3CYD1825250                                      ,PURO CUERO 18X2.5X250,45292,UND ,COP,24170,0,0,0,0,
744,C3CYD1825300                                      ,PURO CUERO 18X2.5X300,45292,UND ,COP,29003,0,0,0,0,
748,C3CYD1903200                                      ,PURO CUERO 19X3X200,45292,UND ,COP,24491,0,0,0,0,
749,C3CYD1903250                                      ,PURO CUERO 19X3X250,45292,UND ,COP,30615,0,0,0,0,
750,C3CYD1903300                                      ,PURO CUERO 19X3X300,45292,UND ,COP,36738,0,0,0,0,
752,C3BLO1838100                                      ,TABLON 18X3.8X100                       ,45292,UND ,COP,9327,0,0,0,0,
753,C3BLO1838150                                      ,TABLON 18X3.8X150                       ,45292,UND ,COP,15157,0,0,0,0,
754,C3BLO1838200                                      ,TABLON 18X3.8X200                       ,45292,UND ,COP,23318,0,0,0,0,
755,C3BLO1838250                                      ,TABLON 18X3.8X250                       ,45292,UND ,COP,34977,0,0,0,0,
756,C3BLO1838300                                      ,TABLON 18X3.8X300                       ,45292,UND ,COP,43139,0,0,0,0,
758,C3VLL3838100                                      ,VARILLON 3.8X3.8X100                    ,45292,UND ,COP,2022,0,0,0,0,
759,C3VLL3838150                                      ,VARILLON 3.8X3.8X150                    ,45292,UND ,COP,3249,0,0,0,0,
760,C3VLL3838200                                      ,VARILLON 3.8X3.8X200                    ,45292,UND ,COP,5054,0,0,0,0,
761,C3VLL3838250                                      ,VARILLON 3.8X3.8X250                    ,45292,UND ,COP,7040,0,0,0,0,
762,C3VLL3838300                                      ,VARILLON 3.8X3.8X300                    ,45292,UND ,COP,8447,0,0,0,0,
770,C3TEC7501100                                      ,TABLILLA TECHO 7.5X1X100M2 CEP,45292,M2  ,COP,10500,0,0,0,0,
771,C3TEC7501150                                      ,TABLILLA TECHO 7.5X1X150M2 CEP,45292,M2  ,COP,11138,0,0,0,0,
772,C3TEC7501200                                      ,TABLILLA TECHO 7.5X1X200M2 CEP,45292,M2  ,COP,13125,0,0,0,0,
773,C3TEC7501250                                      ,TABLILLA TECHO 7.5X1X250M2 CEP,45292,M2  ,COP,15719,0,0,0,0,
774,C3TEC7501300                                      ,TABLILLA TECHO 7.5X1X300M2 CEP,45292,M2  ,COP,16050,0,0,0,0,
776,C3VAR8523100                                      ,VARETA 8.5X2.3X100                      ,45292,UND ,COP,2346,0,0,0,0,
777,C3VAR8523150                                      ,VARETA 8.5X2.3X150                      ,45292,UND ,COP,4913,0,0,0,0,
778,C3VAR8523200                                      ,VARETA 8.5X2.3X200                      ,45292,UND ,COP,6550,0,0,0,0,
779,C3VAR8523250                                      ,VARETA 8.5X2.3X250,45292,UND ,COP,8187,0,0,0,0,
780,C3VAR8523300                                      ,VARETA 8.5X2.3X300,45292,UND ,COP,10031,0,0,0,0,
781,C3VAR8523400                                      ,VARETA 8.5X2.3X400,45292,UND ,COP,13376,0,0,0,0,
782,C3TCA0802090                                      ,TENDIDO CAMA 8X2X90,45292,UND ,COP,40645,0,0,0,0,
783,C3TCA0802100                                      ,TENDIDO CAMA 8X2X100,45292,UND ,COP,45161,0,0,0,0,
784,C3TCA0802120                                      ,TENDIDO CAMA 8X2X120,45292,UND ,COP,60569,0,0,0,0,
785,C3TCA0802140                                      ,TENDIDO CAMA 8X2X140,45292,UND ,COP,63226,0,0,0,0,
786,C3TCA0802160                                      ,TENDIDO CAMA 8X2X160,45292,UND ,COP,72258,0,0,0,0,
788,C3VAR1025100                                      ,VARETA 10X2.5X100                       ,45292,UND ,COP,3500,0,0,0,0,
789,C3VAR1025150                                      ,VARETA 10X2.5X150                       ,45292,UND ,COP,5625,0,0,0,0,
790,C3VAR1025200                                      ,VARETA 10X2.5X200                       ,45292,UND ,COP,8750,0,0,0,0,
791,C3VAR1025250                                      ,VARETA 10X2.5X250                       ,45292,UND ,COP,12188,0,0,0,0,
792,C3VAR1025300                                      ,VARETA 10X2.5X300                       ,45292,UND ,COP,14625,0,0,0,0,
793,C3VAR1025400                                      ,VARETA 10X2.5X400                       ,45292,UND ,COP,16720,0,0,0,0,
794,C3DBV0838100                                      ,DOBLE VARETA 8X3.8X100                  ,45292,UND ,COP,4256,0,0,0,0,
795,C3DBV0838150                                      ,DOBLE VARETA 8X3.8X150                  ,45292,UND ,COP,6840,0,0,0,0,
796,C3DBV0838200                                      ,DOBLE VARETA 8X3.8X200                  ,45292,UND ,COP,10640,0,0,0,0,
797,C3DBV0838250                                      ,DOBLE VARETA 8X3.8X250                  ,45292,UND ,COP,14820,0,0,0,0,
798,C3DBV0838300                                      ,DOBLE VARETA 8X3.8X300                  ,45292,UND ,COP,17784,0,0,0,0,
799,C3DBV0838400                                      ,DOBLE VARETA 8X3.8X400                  ,45292,UND ,COP,22267,0,0,0,0,
800,C3COL0808100                                      ,COLUMNA 8X8X100                         ,45292,UND ,COP,8960,0,0,0,0,
801,C3COL0808150                                      ,COLUMNA 8X8X150                         ,45292,UND ,COP,14400,0,0,0,0,
802,C3COL0808200                                      ,COLUMNA 8X8X200                         ,45292,UND ,COP,22400,0,0,0,0,
803,C3COL0808250                                      ,COLUMNA 8X8X250                         ,45292,UND ,COP,31200,0,0,0,0,
804,C3COL0808300                                      ,COLUMNA 8X8X300                         ,45292,UND ,COP,37440,0,0,0,0,
806,C3VLL3802100                                      ,VARILLON 3.8X2X100                      ,45292,UND ,COP,1064,0,0,0,0,
807,C3VLL3802150                                      ,VARILLON 3.8X2X150                      ,45292,UND ,COP,1710,0,0,0,0,
808,C3VLL3802200                                      ,VARILLON 3.8X2X200                      ,45292,UND ,COP,2660,0,0,0,0,
810,C3VLL3802300                                      ,VARILLON 3.8X2X300                      ,45292,UND ,COP,4446,0,0,0,0,
812,C3TAB1825100                                      ,TABLA 18X2.5X100                        ,45292,UND ,COP,6136,0,0,0,0,
813,C3TAB1825150                                      ,TABLA 18X2.5X150                        ,45292,UND ,COP,9972,0,0,0,0,
814,C3TAB1825200                                      ,TABLA 18X2.5X200                        ,45292,UND ,COP,15341,0,0,0,0,
815,C3TAB1825250                                      ,TABLA 18X2.5X250                        ,45292,UND ,COP,23011,0,0,0,0,
816,C3TAB1825300                                      ,TABLA 18X2.5X300                        ,45292,UND ,COP,28381,0,0,0,0,
818,C3BOL2525090                                      ,BOLILLO 2.5X90                          ,45292,UND ,COP,2981,0,0,0,0,
820,C3BOL2525150                                      ,BOLILLO 2.5X150                         ,45292,UND ,COP,5392,0,0,0,0,
821,C3BOL2525200                                      ,BOLILLO 2.5X200                         ,45292,UND ,COP,7124,0,0,0,0,
822,C3BOL2525250                                      ,BOLILLO 2.5X250                         ,45292,UND ,COP,9049,0,0,0,0,
823,C3BOL2525300                                      ,BOLILLO 2.5X300                         ,45292,UND ,COP,11010,0,0,0,0,
824,C3BOL0303090                                      ,BOLILLO 3X90                            ,45292,UND ,COP,3466,0,0,0,0,
825,C3BOL0303100                                      ,BOLILLO 3X100                           ,45292,UND ,COP,3851,0,0,0,0,
826,C3BOL0303150                                      ,BOLILLO 3X150                           ,45292,UND ,COP,5776,0,0,0,0,
827,C3BOL0303200                                      ,BOLILLO 3X200                           ,45292,UND ,COP,7702,0,0,0,0,
828,C3BOL0303250                                      ,BOLILLO 3X250                           ,45292,UND ,COP,9627,0,0,0,0,
829,C3BOL0303300                                      ,BOLILLO 3X300                           ,45292,UND ,COP,11795,0,0,0,0,
830,C3TJA080290                                       ,JAM TENDIDO DE CAMA 8X2X90,45292,UND ,COP,56371,0,0,0,0,
831,C3TJA0802100                                      ,JAM TENDIDO DE CAMA 8X2X100,45292,UND ,COP,58895,0,0,0,0,
832,C3TJA0802120                                      ,JAM TENDIDO DE CAMA 8X2X120,45292,UND ,COP,64376,0,0,0,0,
833,C3TJA0802140                                      ,JAM TENDIDO DE CAMA 8X2X140,45292,UND ,COP,77018,0,0,0,0,
834,C3TJA0802160                                      ,JAM TENDIDO DE CAMA 8X2X160,45292,UND ,COP,88325,0,0,0,0,
835,C3TJA0802200                                      ,JAM TENDIDO DE CAMA 8X2X200,45292,UND ,COP,108563,0,0,0,0,
836,REC40808210                                       ,ESTACÓN CUADRADO TRATADO 8X8X210,45292,UND ,COP,22800,0,0,0,0,
837,RA40016300                                        ,ALFARDA TRATADA 16X300,45292,UND ,COP,107920,0,0,0,0,
838,RA40016400                                        ,ALFARDA TRATADA 16X400,45292,UND ,COP,173684,0,0,0,0,
839,RA40016500                                        ,ALFARDA TRATADA 16X500,45292,UND ,COP,241472,0,0,0,0,
840,RA40016600                                        ,ALFARDA TRATADA 16X600,45292,UND ,COP,289766,0,0,0,0,
841,RA40016700                                        ,ALFARDA TRATADA 16X700,45292,UND ,COP,384715,0,0,0,0,
842,RA40016800                                        ,ALFARDA TRATADA 16X800,45292,UND ,COP,488527,0,0,0,0,
843,RA40018300                                        ,ALFARDA TRATADA 18X300,45292,UND ,COP,139705,0,0,0,0,
844,RA40018400                                        ,ALFARDA TRATADA 18X400,45292,UND ,COP,224846,0,0,0,0,
845,RA40018500                                        ,ALFARDA TRATADA 18X500,45292,UND ,COP,311897,0,0,0,0,
846,RA40018600                                        ,ALFARDA TRATADA 18X600,45292,UND ,COP,374276,0,0,0,0,
847,RA40018700                                        ,ALFARDA TRATADA 18X700,45292,UND ,COP,486905,0,0,0,0,
848,RA40018800                                        ,ALFARDA TRATADA 18X800,45292,UND ,COP,556463,0,0,0,0,
849,RA40020300                                        ,ALFARDA TRATADA 20X300,45292,UND ,COP,171899,0,0,0,0,
850,RA40020400                                        ,ALFARDA TRATADA 20X400,45292,UND ,COP,277588,0,0,0,0,
851,RA40020500                                        ,ALFARDA TRATADA 20X500,45292,UND ,COP,385058,0,0,0,0,
852,RA40020600                                        ,ALFARDA TRATADA 20X600,45292,UND ,COP,462070,0,0,0,0,
853,RA40020700                                        ,ALFARDA TRATADA 20X700,45292,UND ,COP,601117,0,0,0,0,
854,RA40020800                                        ,ALFARDA TRATADA 20X800,45292,UND ,COP,686991,0,0,0,0,
855,RA40009150                                        ,ALFARDA TRATADA 9X150,45292,UND ,COP,18100,0,0,0,0,
856,RA40009220                                        ,ALFARDA TRATADA 9X220,45292,UND ,COP,25671,0,0,0,0,
857,RA40009250                                        ,ALFARDA TRATADA 9X250,45292,UND ,COP,29301,0,0,0,0,
858,RA40009300                                        ,ALFARDA TRATADA 9X300,45292,UND ,COP,35100,0,0,0,0,
859,RA40009400                                        ,ALFARDA TRATADA 9X400,45292,UND ,COP,54804,0,0,0,0,
860,RA40009500                                        ,ALFARDA TRATADA 9X500,45292,UND ,COP,76423,0,0,0,0,
861,RA40010150                                        ,ALFARDA TRATADA 10X150,45292,UND ,COP,20951,0,0,0,0,
862,RA40010220                                        ,ALFARDA TRATADA 10X220,45292,UND ,COP,28882,0,0,0,0,
863,RA40010250                                        ,ALFARDA TRATADA 10X250,45292,UND ,COP,33572,0,0,0,0,
864,RA40010300                                        ,ALFARDA TRATADA 10X300,45292,UND ,COP,42378,0,0,0,0,
865,RA40010400                                        ,ALFARDA TRATADA 10X400,45292,UND ,COP,66332,0,0,0,0,
866,RA40010500                                        ,ALFARDA TRATADA 10X500,45292,UND ,COP,95161,0,0,0,0,
867,RA40010600                                        ,ALFARDA TRATADA 10X600,45292,UND ,COP,111158,0,0,0,0,
868,RA40010700                                        ,ALFARDA TRATADA 10X700,45292,UND ,COP,153177,0,0,0,0,
869,RA40010800                                        ,ALFARDA TRATADA 10X800,45292,UND ,COP,174854,0,0,0,0,
870,RA40012150                                        ,ALFARDA TRATADA 12X150,45292,UND ,COP,27531,0,0,0,0,
871,RA40012200                                        ,ALFARDA TRATADA 12X200,45292,UND ,COP,34437,0,0,0,0,
872,RA40012220                                        ,ALFARDA TRATADA 12X220,45292,UND ,COP,37029,0,0,0,0,
873,RA40012250                                        ,ALFARDA TRATADA 12X250,45292,UND ,COP,42078,0,0,0,0,
874,RA40012300                                        ,ALFARDA TRATADA 12X300,45292,UND ,COP,51792,0,0,0,0,
875,RA40012400                                        ,ALFARDA TRATADA 12X400,45292,UND ,COP,95523,0,0,0,0,
876,RA40012500                                        ,ALFARDA TRATADA 12X500,45292,UND ,COP,133936,0,0,0,0,
877,RA40012600                                        ,ALFARDA TRATADA 12X600,45292,UND ,COP,162707,0,0,0,0,
878,RA40012700                                        ,ALFARDA TRATADA 12X700,45292,UND ,COP,308898,0,0,0,0,
879,RA40012800                                        ,ALFARDA TRATADA 12X800,45292,UND ,COP,417614,0,0,0,0,
880,RA40075150                                        ,ALFARDA TRATADA 7X150,45292,UND ,COP,15006,0,0,0,0,
881,RA40075220                                        ,ALFARDA TRATADA 7X220,45292,UND ,COP,18370,0,0,0,0,
882,RA40075250                                        ,ALFARDA TRATADA 7X250,45292,UND ,COP,21202,0,0,0,0,
883,RA40075300                                        ,ALFARDA TRATADA 7X300,45292,UND ,COP,30349,0,0,0,0,
884,RA40075400                                        ,ALFARDA TRATADA 7X400,45292,UND ,COP,43225,0,0,0,0,
885,RA40075500                                        ,ALFARDA TRATADA 7X500,45292,UND ,COP,59681,0,0,0,0,
886,RA40075600                                        ,ALFARDA TRATADA 7X600,45292,UND ,COP,71367,0,0,0,0,
887,RA40014220                                        ,ALFARDA TRATADA 14X220,45292,UND ,COP,53177,0,0,0,0,
888,RA40014250                                        ,ALFARDA TRATADA 14X250,45292,UND ,COP,71416,0,0,0,0,
889,RA40014300                                        ,ALFARDA TRATADA 14X300,45292,UND ,COP,76466,0,0,0,0,
890,RA40014400                                        ,ALFARDA TRATADA 14X400,45292,UND ,COP,126329,0,0,0,0,
891,RA40014500                                        ,ALFARDA TRATADA 14X500,45292,UND ,COP,198121,0,0,0,0,
892,RA40014600                                        ,ALFARDA TRATADA 14X600,45292,UND ,COP,253674,0,0,0,0,
893,RA40014700                                        ,ALFARDA TRATADA 14X700,45292,UND ,COP,325168,0,0,0,0,
894,RA40014800                                        ,ALFARDA TRATADA 14X800,45292,UND ,COP,439063,0,0,0,0,
895,RA4M009220                                        ,ALFARDA TRATADA MM 4 5X220,45292,UND ,COP,13477,0,0,0,0,
896,RA4M009250                                        ,ALFARDA TRATADA MM 4 5X250,45292,UND ,COP,15236,0,0,0,0,
897,RA4M009300                                        ,ALFARDA TRATADA MM 4 5X300,45292,UND ,COP,19136,0,0,0,0,
898,RA4M010220                                        ,ALFARDA TRATADA MM 5X220,45292,UND ,COP,15289,0,0,0,0,
899,RA4M010250                                        ,ALFARDA TRATADA MM 5X250,45292,UND ,COP,17657,0,0,0,0,
900,RA4M010300                                        ,ALFARDA TRATADA MM 5X300,45292,UND ,COP,22248,0,0,0,0,
901,RA4M010400                                        ,ALFARDA TRATADA MM 5X400,45292,UND ,COP,34824,0,0,0,0,
902,RA4M012250                                        ,ALFARDA TRATADA MM 6X250,45292,UND ,COP,22091,0,0,0,0,
903,RA4M012300                                        ,ALFARDA TRATADA MM 6X300,45292,UND ,COP,26414,0,0,0,0,
904,RA4M012400                                        ,ALFARDA TRATADA MM 6X400,45292,UND ,COP,48716,0,0,0,0,
905,RC40009150                                        ,CALIBRADO TRATADO 9X150,45292,UND ,COP,16699,0,0,0,0,
906,RC40009220                                        ,CALIBRADO TRATADO 9X220,45292,UND ,COP,23990,0,0,0,0,
907,RC40009250                                        ,CALIBRADO TRATADO 9X250,45292,UND ,COP,26480,0,0,0,0,
908,RC40009300                                        ,CALIBRADO TRATADO 9X300,45292,UND ,COP,35556,0,0,0,0,
909,RC40010150                                        ,CALIBRADO TRATADO 10X150,45292,UND ,COP,19422,0,0,0,0,
910,RC40010220                                        ,CALIBRADO TRATADO 10X220,45292,UND ,COP,27973,0,0,0,0,
911,RC40010250                                        ,CALIBRADO TRATADO 10X250,45292,UND ,COP,32713,0,0,0,0,
912,RC40010300                                        ,CALIBRADO TRATADO 10X300,45292,UND ,COP,38458,0,0,0,0,
913,RC40012220                                        ,CALIBRADO TRATADO 12X220,45292,UND ,COP,33480,0,0,0,0,
914,RC40012250                                        ,CALIBRADO TRATADO 12X250,45292,UND ,COP,36186,0,0,0,0,
915,RC40012300                                        ,CALIBRADO TRATADO 12X300,45292,UND ,COP,44432,0,0,0,0,
916,RC40075150                                        ,CALIBRADO TRATADO 7X150,45292,UND ,COP,12081,0,0,0,0,
917,RC40075220                                        ,CALIBRADO TRATADO 7X220,45292,UND ,COP,17352,0,0,0,0,
918,RC40075250                                        ,CALIBRADO TRATADO 7X250,45292,UND ,COP,18926,0,0,0,0,
919,RC40075300                                        ,CALIBRADO TRATADO 7X300,45292,UND ,COP,25722,0,0,0,0,
920,RC40014150                                        ,CALIBRADO TRATADO 14X150,45292,UND ,COP,33041,0,0,0,0,
921,RC40014220                                        ,CALIBRADO TRATADO 14X220,45292,UND ,COP,41111,0,0,0,0,
922,RC40014250                                        ,CALIBRADO TRATADO 14X250,45292,UND ,COP,46667,0,0,0,0,
923,RC40014300                                        ,CALIBRADO TRATADO 14X300,45292,UND ,COP,68872,0,0,0,0,
924,RC4M010220                                        ,CALIBRADO TRATADO MM 5X220,45292,UND ,COP,15163,0,0,0,0,
925,RC4M010250                                        ,CALIBRADO TRATADO MM 5X250,45292,UND ,COP,17747,0,0,0,0,
926,RC4M010300                                        ,CALIBRADO TRATADO MM 5X300,45292,UND ,COP,20190,0,0,0,0,
927,RC4M012220                                        ,CALIBRADO TRATADO MM 6X220,45292,UND ,COP,17577,0,0,0,0,
928,RC4M012250                                        ,CALIBRADO TRATADO MM 6X250,45292,UND ,COP,18998,0,0,0,0,
929,RC4M012300                                        ,CALIBRADO TRATADO MM 6X300,45292,UND ,COP,24867,0,0,0,0,
930,RC4M014220                                        ,CALIBRADO TRATADO MM 7X220,45292,UND ,COP,21378,0,0,0,0,
931,RC4M014250                                        ,CALIBRADO TRATADO MM 7X250,45292,UND ,COP,24500,0,0,0,0,
932,RC4M009220                                        ,CALIBRADO TRATADO MM 4.5X220,45292,UND ,COP,12670,0,0,0,0,
933,RC4TT12250                                        ,CALIBRADO TRATADO TT 3X250,45292,UND ,COP,9594,0,0,0,0,
934,RC4TRIDEN12250                                    ,CALIBRADO TRATADO TRIDENT 4X250,45292,UND ,COP,12824,0,0,0,0,
935,RC4TRIDEN14220                                    ,CALIBRADO TRATADO TRIDENTE 4.7X220,45292,UND ,COP,13841,0,0,0,0,
936,RC4TRIDEN14250                                    ,CALIBRADO TRATADO TRIDENTE 4.7X250,45292,UND ,COP,15711,0,0,0,0,
937,RC4TT10250                                        ,CALIBRADO TRATADO TT 2.5X250,45292,UND ,COP,8962,0,0,0,0,
938,RC4TT12220                                        ,CALIBRADO TRATADO TT 3X220,45292,UND ,COP,8876,0,0,0,0,
939,RC4TT12300                                        ,CALIBRADO TRATADO TT 3X300,45292,UND ,COP,12558,0,0,0,0,
940,RC4TT14220                                        ,CALIBRADO TRATADO TT 3.5X220,45292,UND ,COP,10796,0,0,0,0,
941,RC4TT14250                                        ,CALIBRADO TRATADO TT 3.5X250,45292,UND ,COP,12373,0,0,0,0,
942,RC40008220                                        ,CALIBRADO TRATADO 8X220,45292,UND ,COP,20589,0,0,0,0,
943,RC40008250                                        ,CALIBRADO TRATADO 8X250,45292,UND ,COP,23397,0,0,0,0,
944,RE40008220                                        ,ESTACÓN TRATADO 8X220,45292,UND ,COP,20589,0,0,0,0,
945,RE40008250                                        ,ESTACÓN TRATADO 8X250,45292,UND ,COP,23397,0,0,0,0,
946,RE40009150                                        ,ESTACÓN TRATADO 9X150,45292,UND ,COP,18100,0,0,0,0,
947,RE40009220                                        ,ESTACÓN TRATADO 9X220,45292,UND ,COP,25671,0,0,0,0,
948,RE40009250                                        ,ESTACÓN TRATADO 9X250,45292,UND ,COP,29301,0,0,0,0,
949,RE40009300                                        ,ESTACÓN TRATADO 9X300,45292,UND ,COP,35100,0,0,0,0,
950,RE40010150                                        ,ESTACÓN TRATADO 10X150,45292,UND ,COP,20951,0,0,0,0,
951,RE40010220                                        ,ESTACÓN TRATADO 10X220,45292,UND ,COP,28882,0,0,0,0,
952,RE40010250                                        ,ESTACÓN TRATADO 10X250,45292,UND ,COP,33572,0,0,0,0,
953,RE40010300                                        ,ESTACÓN TRATADO 10X300,45292,UND ,COP,42378,0,0,0,0,
954,RE40012220                                        ,ESTACÓN TRATADO 12X220,45292,UND ,COP,37029,0,0,0,0,
955,RE40012250                                        ,ESTACÓN TRATADO 12X250,45292,UND ,COP,42078,0,0,0,0,
956,RE40012300                                        ,ESTACÓN TRATADO 12X300,45292,UND ,COP,51792,0,0,0,0,
957,RE40075150                                        ,ESTACÓN TRATADO 7X150,45292,UND ,COP,15006,0,0,0,0,
958,RE40075220                                        ,ESTACÓN TRATADO 7X220,45292,UND ,COP,18370,0,0,0,0,
959,RE40075250                                        ,ESTACÓN TRATADO 7X250,45292,UND ,COP,21202,0,0,0,0,
960,RE40075300                                        ,ESTACÓN TRATADO 7X300,45292,UND ,COP,30349,0,0,0,0,
961,RE40014220                                        ,ESTACÓN TRATADO 14X220,45292,UND ,COP,53177,0,0,0,0,
962,RE40014250                                        ,ESTACÓN TRATADO 14X250,45292,UND ,COP,71416,0,0,0,0,
963,RE40014300                                        ,ESTACÓN TRATADO 14X300,45292,UND ,COP,76466,0,0,0,0,
964,RE4M009220                                        ,ESTACÓN TRATADO MM 4.5X220,45292,UND ,COP,13477,0,0,0,0,
965,RE4M009300                                        ,ESTACÓN TRATADO MM 4.5X300,45292,UND ,COP,19136,0,0,0,0,
966,RE4M010220                                        ,ESTACÓN TRATADO MM 5X220,45292,UND ,COP,15289,0,0,0,0,
967,RE4M010250                                        ,ESTACÓN TRATADO MM 5X250,45292,UND ,COP,17657,0,0,0,0,
968,RE4M012220                                        ,ESTACÓN TRATADO MM 6X220,45292,UND ,COP,19579,0,0,0,0,
969,RE4M012300                                        ,ESTACÓN TRATADO MM 6X300,45292,UND ,COP,26414,0,0,0,0,
970,RE4M009250                                        ,ESTACÓN TRATADO MM 4.5X250,45292,UND ,COP,15236,0,0,0,0,
